Date,Open,High,Low,Close,Adj Close,Volume
2023-08-15,30.250000,30.570000,29.950001,30.530001,30.243427,32200
2023-08-16,30.549999,30.750000,29.670000,29.879999,29.599527,75000
2023-08-17,29.950001,30.650000,29.950001,30.500000,30.213711,50800
2023-08-18,30.350000,30.969999,30.350000,30.430000,30.144367,71500
2023-08-21,30.480000,30.840000,30.299999,30.340000,30.055212,61100
2023-08-22,30.559999,31.090000,30.420000,30.639999,30.352396,43000
2023-08-23,30.549999,31.170000,30.480000,30.920000,30.629766,35600
2023-08-24,30.700001,30.889999,30.469999,30.650000,30.362301,34300
2023-08-25,30.709999,30.709999,30.150000,30.400000,30.114649,57700
2023-08-28,30.770000,31.170000,30.680000,30.990000,30.699110,57700
2023-08-29,30.750000,31.740000,30.559999,31.570000,31.273664,69400
2023-08-30,31.420000,31.879999,31.280001,31.320000,31.026012,37700
2023-08-31,31.379999,31.570000,30.770000,30.820000,30.530706,53400
2023-09-01,30.980000,31.469999,30.740000,30.879999,30.590141,32000
2023-09-05,30.700001,30.700001,29.850000,29.900000,29.619341,46600
2023-09-06,29.900000,30.219999,29.900000,30.150000,29.866995,39700
2023-09-07,30.129999,30.129999,29.670000,30.020000,29.738214,67800
2023-09-08,30.020000,30.270000,29.900000,30.020000,29.738214,24700
2023-09-11,30.180000,30.410000,29.950001,30.400000,30.114649,48300
2023-09-12,30.410000,30.910000,30.330000,30.900000,30.609955,67400
2023-09-13,30.860001,31.389999,30.799999,31.309999,31.016106,50800
2023-09-14,31.360001,32.000000,31.360001,31.950001,31.650099,43500
2023-09-15,31.959999,32.090000,31.500000,31.570000,31.273664,151200
2023-09-18,31.620001,31.680000,30.799999,30.900000,30.609955,88200
2023-09-19,30.879999,31.440001,30.809999,31.090000,30.798172,102000
2023-09-20,31.139999,31.709999,30.730000,31.350000,31.055731,68200
2023-09-21,31.129999,31.420000,30.750000,30.850000,30.560423,115700
2023-09-22,30.830000,30.860001,30.090000,30.129999,29.847181,100700
2023-09-25,30.000000,30.350000,29.440001,29.540001,29.262722,100800
2023-09-26,29.490000,30.000000,29.120001,29.180000,28.906101,83100
2023-09-27,29.459999,29.889999,28.700001,29.190001,28.916006,94500
2023-09-28,28.969999,29.139999,28.639999,28.709999,28.440512,87300
2023-09-29,28.860001,28.860001,28.160000,28.250000,27.984829,102800
2023-10-02,28.120001,28.850000,27.770000,27.830000,27.568771,73100
2023-10-03,27.590000,27.590000,23.799999,23.940001,23.715286,386000
2023-10-04,24.469999,25.260000,24.320000,25.200001,24.963459,139500
2023-10-05,25.129999,25.440001,24.629999,24.740000,24.507776,119500
2023-10-06,24.700001,25.680000,24.379999,25.360001,25.121956,115500
2023-10-09,25.190001,25.620001,25.190001,25.410000,25.171488,66000
2023-10-10,25.610001,26.100000,25.030001,25.160000,24.923834,85900
2023-10-11,25.320000,26.020000,24.959999,25.830000,25.587545,106900
2023-10-12,25.770000,25.770000,24.330000,24.850000,24.616743,85200
2023-10-13,25.000000,25.040001,24.170000,24.370001,24.141251,118100
2023-10-16,24.629999,24.799999,24.350000,24.559999,24.329464,115100
2023-10-17,24.580000,25.129999,24.500000,24.680000,24.448341,92100
2023-10-18,24.480000,24.480000,23.370001,23.580000,23.358665,104400
2023-10-19,23.559999,23.700001,22.900000,23.010000,22.794016,140100
2023-10-20,23.070000,23.400000,22.680000,22.799999,22.585985,79200
2023-10-23,22.790001,22.930000,22.230000,22.290001,22.080774,80000
2023-10-24,22.520000,22.520000,21.780001,22.219999,22.011429,157100
2023-10-25,22.070000,22.209999,21.700001,21.850000,21.644905,87100
2023-10-26,22.000000,22.000000,21.340000,21.520000,21.318001,80700
2023-10-27,21.379999,21.469999,21.000000,21.180000,20.981194,238300
2023-10-30,21.480000,21.920000,21.280001,21.450001,21.248659,115800
2023-10-31,21.340000,21.709999,21.250000,21.600000,21.397251,100400
2023-11-01,21.459999,21.459999,20.910000,21.180000,20.981194,106600
2023-11-02,21.590000,22.959999,21.590000,22.930000,22.714767,126500
2023-11-03,23.170000,23.820000,23.059999,23.250000,23.145826,102200
2023-11-06,23.020000,23.020000,22.410000,22.969999,22.867081,67300
2023-11-07,22.959999,23.320000,22.480000,23.120001,23.016409,89600
2023-11-08,23.170000,23.270000,22.469999,22.830000,22.727707,178900
2023-11-09,20.660000,22.070000,18.059999,21.170000,21.075146,514700
2023-11-10,21.280001,21.280001,20.280001,20.969999,20.876041,235200
2023-11-13,20.910000,21.520000,20.110001,20.150000,20.059715,221100
2023-11-14,20.850000,22.270000,20.610001,22.000000,21.901426,310300
2023-11-15,22.139999,22.629999,21.379999,21.709999,21.612724,169600
2023-11-16,21.610001,21.870001,21.100000,21.400000,21.304115,170400
2023-11-17,21.620001,22.639999,21.200001,22.580000,22.478828,172200
2023-11-20,22.700001,22.740000,21.790001,22.030001,21.931293,166300
2023-11-21,21.809999,22.340000,21.629999,22.110001,22.010935,80800
2023-11-22,22.200001,22.660000,22.000000,22.420000,22.319546,74100
2023-11-24,22.530001,22.850000,22.320000,22.709999,22.608244,45500
2023-11-27,22.420000,22.740000,22.250000,22.379999,22.279724,99900
2023-11-28,22.600000,22.770000,22.100000,22.570000,22.468872,67100
2023-11-29,22.799999,23.030001,22.129999,22.309999,22.210037,97800
2023-11-30,22.360001,22.860001,22.049999,22.590000,22.488783,113400
2023-12-01,22.500000,23.270000,22.450001,23.150000,23.046274,101900
2023-12-04,23.150000,23.660000,23.150000,23.510000,23.404661,85400
2023-12-05,23.309999,23.520000,22.889999,23.430000,23.325020,138800
2023-12-06,23.770000,24.100000,23.530001,23.570000,23.464392,83600
2023-12-07,23.570000,24.580000,23.320000,24.559999,24.449955,134500
2023-12-08,24.500000,25.309999,24.500000,24.910000,24.798388,83900
2023-12-11,24.660000,25.010000,24.340000,24.700001,24.589331,98400
2023-12-12,24.530001,24.629999,24.230000,24.350000,24.240898,62300
2023-12-13,24.209999,25.170000,23.799999,25.049999,24.937759,168300
2023-12-14,25.770000,26.389999,25.150000,25.459999,25.345922,122900
2023-12-15,25.719999,25.719999,24.830000,25.120001,25.007448,196600
2023-12-18,24.950001,25.299999,24.500000,25.120001,25.007448,92800
2023-12-19,25.250000,25.540001,24.990000,25.360001,25.246372,138200
2023-12-20,25.469999,25.719999,24.639999,24.639999,24.529598,227500
2023-12-21,24.770000,25.129999,24.570000,25.120001,25.007448,142800
2023-12-22,25.139999,25.490000,24.879999,25.219999,25.106998,114500
2023-12-26,25.110001,25.400000,24.990000,25.350000,25.236418,77000
2023-12-27,25.379999,25.450001,25.170000,25.309999,25.196596,99600
2023-12-28,25.020000,25.469999,25.010000,25.290001,25.176687,72900
2023-12-29,25.129999,25.510000,24.850000,25.010000,24.897940,70000
2024-01-02,25.170000,25.440001,25.010000,25.110001,24.997492,59900
2024-01-03,25.010000,25.010000,24.240000,24.370001,24.260809,110000
2024-01-04,24.480000,24.559999,24.160000,24.370001,24.260809,70800
2024-01-05,24.139999,25.160000,24.020000,24.700001,24.589331,194500
2024-01-08,24.840000,25.219999,24.440001,24.700001,24.589331,131100
2024-01-09,24.370001,24.540001,24.209999,24.490000,24.380270,65800
2024-01-10,24.280001,24.570000,24.170000,24.280001,24.171211,72800
2024-01-11,24.110001,24.260000,23.459999,23.730000,23.623674,115700
2024-01-12,24.100000,24.150000,23.719999,23.900000,23.792913,75600
2024-01-16,23.840000,24.020000,23.450001,23.559999,23.454437,69900
2024-01-17,23.150000,23.459999,23.049999,23.250000,23.145826,68800
2024-01-18,23.379999,23.440001,22.910000,23.200001,23.096050,78400
2024-01-19,23.330000,23.450001,22.840000,23.410000,23.305109,112500
2024-01-22,23.549999,24.590000,23.500000,24.559999,24.449955,87900
2024-01-23,24.870001,25.000000,24.170000,24.700001,24.589331,96800
2024-01-24,24.770000,24.910000,24.090000,24.219999,24.111479,65600
2024-01-25,24.690001,25.250000,24.520000,25.170000,25.057224,99400
2024-01-26,25.330000,25.639999,25.110001,25.309999,25.196596,156400
2024-01-29,25.299999,25.480000,24.799999,25.379999,25.266281,124800
2024-01-30,25.170000,25.480000,24.990000,25.219999,25.106998,60500
2024-01-31,25.170000,25.459999,24.480000,24.709999,24.599283,101900
2024-02-01,24.740000,25.340000,24.510000,25.219999,25.106998,73700
2024-02-02,24.719999,24.910000,24.500000,24.799999,24.799999,72200
2024-02-05,24.660000,24.660000,24.070000,24.090000,24.090000,62600
2024-02-06,23.980000,24.280001,23.730000,23.820000,23.820000,98200
2024-02-07,23.840000,23.840000,23.000000,23.120001,23.120001,59300
2024-02-08,23.120001,23.660000,22.959999,23.530001,23.530001,81200
2024-02-09,23.620001,24.580000,23.620001,24.350000,24.350000,85000
2024-02-12,24.549999,25.500000,24.549999,25.299999,25.299999,73400
2024-02-13,24.430000,24.730000,24.280001,24.320000,24.320000,104300
2024-02-14,24.840000,25.049999,24.530001,24.860001,24.860001,67100
2024-02-15,25.080000,25.590000,24.830000,25.400000,25.400000,93800
2024-02-16,25.100000,25.690001,25.030001,25.660000,25.660000,68900
2024-02-20,25.190001,25.629999,24.840000,25.180000,25.180000,72100
2024-02-21,25.150000,25.420000,24.820000,25.080000,25.080000,75800
2024-02-22,25.650000,27.469999,24.900000,25.580000,25.580000,184000
2024-02-23,25.570000,26.809999,25.570000,26.400000,26.400000,167600
2024-02-26,26.320000,26.450001,25.070000,25.260000,25.260000,119000
2024-02-27,25.420000,25.709999,25.049999,25.080000,25.080000,82100
2024-02-28,25.000000,25.360001,24.620001,24.639999,24.639999,92200
2024-02-29,25.070000,25.230000,24.750000,24.820000,24.820000,80400
2024-03-01,24.750000,24.770000,24.100000,24.410000,24.410000,102500
2024-03-04,24.549999,25.200001,24.490000,24.809999,24.809999,70400
2024-03-05,24.549999,24.830000,24.290001,24.500000,24.500000,72700
2024-03-06,24.600000,25.440001,24.600000,25.290001,25.290001,80000
2024-03-07,25.410000,25.700001,25.120001,25.660000,25.660000,104500
2024-03-08,25.799999,26.350000,25.580000,25.900000,25.900000,108000
2024-03-11,25.670000,26.110001,25.580000,25.980000,25.980000,56400
2024-03-12,26.559999,26.559999,26.010000,26.350000,26.350000,93000
2024-03-13,26.059999,26.500000,25.870001,26.139999,26.139999,101500
2024-03-14,25.900000,26.190001,24.860001,25.370001,25.370001,89600
2024-03-15,25.129999,25.830000,25.129999,25.580000,25.580000,185500
2024-03-18,25.520000,25.570000,25.150000,25.450001,25.450001,67700
